Date,Country,Latitude,Longitude,Type of Incident,Description,Media Report Link
10-Jul-21,Hong Kong,39.11251,-100.35875,Fall,"32-year-old influencer Sofia Cheung died after slipping and falling 5 meters in the nature park Ha Pak Lai, while she was taking a selfie with friends at the edge of a waterfall. Her Instagram account featured photos of her outdoor adventures, including scaling cliffs and mountaintops.",https://www.news.com.au/travel/travel-updates/incidents/influencer-sofia-cheung-dead-after-fatal-slip-while-taking-selfie/news-story/380d9c896ffc79a2f6d5b792f0cc4b9e
28-Jul-21,Italy,42.62242,13.76932,Fall,"22-year-old Danish YouTuber Albert Dyrlund died after falling 200 meters from Forcella di Pana, Italy while he was recording for his channel.",https://www.newsweek.com/youtuber-albert-dyrlund-death-fall-italy-danish-1614634
6-Aug-21,Hungary,47.4857313,19.0549183,Fall,A 19-year-old Dutch citizen died after falling from the Liberty Bridge. It was reported that he climbed the bridge to take a selfie.,https://web.archive.org/web/20210807144933/https://www.blikk.hu/aktualis/belfold/ugras-foto-halal-tragedia-holland-blikk-exkluziv/4yv22cx
24-Jan-22,United States,33.4286606,-111.4181856,Fall,A U.S. hiker in Arizona slipped and fell approximately 700 feet (213 meters) to his death while trying to take a photo in Lost Dutchman State Park near the Superstition Mountains.,https://www.cbsnews.com/news/richard-jacobson-fall-death-arizona-superstition-mountains/
28-Aug-22,India,21.6637359,81.8406351,Drowned,Six members of the same family drowned at Ramdaha Falls in Chhattisgarh. Two teenage sisters attempted to take a selfie but slipped into the water. Four other relatives tried to save them but they all drowned.,https://timesofindia.indiatimes.com/city/raipur/one-dead-five-missing-in-water-falls-of-chhattisgarh/articleshow/93836095.cms
23-Nov-22,Italy,40.62722,14.58694,Drowned,"Ines Gomila, a 36-year-old tourist from C—rdoba, Argentina, drowned after being swept out to sea by aÊfreak waveÊwhile taking a photo during a storm at theÊFurore fjord (Fiordo di Furore). She was with her husband,ÊSebastian Queiroz, who survived by clinging to nearby rocks.",https://www.thesun.co.uk/news/20572065/tourist-drowns-dragged-sea-wave-italian-coast/
26-Dec-22,Argentina,-34.68278,-68.42,Fall,"This happened in Mendoza, Argentina, specifically at the Ca–—n del Atuel in San Rafael.
The victim was Natalia Elizabeth Ramallo, a 39-year-old woman from San Fernando, Buenos Aires province. She was on vacation with her husband and young son. While trying to take a selfie on a rock, she lost her balance and fell into a 100-meter precipice. Emergency responders (firefighters and SEC medical staff) retrieved her body, but she had already died.
The case was recorded as an Òaccidente seguido de muerteÓ (accident followed by death)",https://www.infobae.com/sociedad/2022/12/27/mendoza-una-mujer-murio-tras-caer-a-un-precipicio-al-querer-sacarse-una-selfie/
27-Dec-22,Thailand,14.02917,99.14194,Fall,A 45-year-old New Zealand tourist slipped and fell about 30 feet (9.1 m) to his death while taking a selfie from an opened carriage door on the Thai-Burma railway.,https://www.straitstimes.com/asia/se-asia/new-zealand-tourist-dies-while-taking-selfie-over-death-railway-in-thailand
12-Feb-23,Australia,-35.4868338,148.9345944,Fall,"A young man who was found dead after falling off a cliff at Gibraltar Falls has been identified.

Thomas Livingstone, 19, was at the popular waterfall spot, located about 46 km from Canberra, when tragedy struck.",https://7news.com.au/news/act/19-year-old-man-found-dead-at-gibraltar-falls-identified-c-9772754
19-Feb-23,Australia,-35.4868338,148.9345944,Fall,"The 22-year-old man was found unconscious in the water just after 6pm and was unable to be revived.

Authorities including Fire & Rescue, paramedics and a rescue helicopter were sent to the scene and ACT Policing is preparing a report for the coroner.

Last week, the falls were temporarily closed by government officials after a 19-year-old man fell to his death while walking across rocks in front of the falls.",https://7news.com.au/news/act/man-who-died-falling-from-gibraltar-falls-identified-as-22-year-old-patrick-prevett-c-9809482
12-Apr-23,Australia,-34.66194,150.85694,Drowned,"A father and son have drowned at a popular swimming spot in QueenslandÕs far north.

The 59-year-old father and his 21-year-old son got into trouble at The Crystal Cascades waterfall near Cairns just after 5pm on Tuesday.",https://www.brisbanetimes.com.au/national/queensland/father-and-son-drown-in-queensland-waterfall-tragedy-20230412-p5d00e.html
25-Aug-23,Australia,-26.39232,153.11678,Fall,American tourist falls 5m while taking picture from cliff at Paradise Caves at Sunshine Beach near Noosa,https://7news.com.au/news/qld/woman-falls-5m-from-cliff-of-paradise-caves-at-sunshine-beach-near-noosa-c-11521583
25-Sep-23,Australia,-38.55836488,145.3427277,Fall,22 y/o female. Fall from 50m cliff while taking selfie/photos. Required rescue.  Pinnacles Lookout at Cape Woolamai.,https://www.abc.net.au/news/2023-09-25/cape-woolamai-rescue-selfie/102896178
3-Jan-24,Australia,-17.43713,145.8569,Trapped in water,Three person rescue of three young males trapped in the water at Josephine Falls,https://au.news.yahoo.com/aussies-fume-over-dangerous-mistake-at-deadly-waterfall-theres-always-one-064337596.html
8-Jan-24,Australia,-27.32346,152.77931,Fall,"Man, 22, airlifted to hospital after falling 10m from waterfall at Cedar Creek on the Gold Coast",https://7news.com.au/news/man-22-airlifted-to-hospital-after-falling-10m-from-waterfall-at-cedar-creek-on-the-gold-coast-c-13147411
